X, A, rho, T, V, p, mDot, M
0.0, 5.95, 1.0,1.0, 0.098, 1.0,0.582, 0.098
0.025, 5.786, 1.0,1.0, 0.101, 1.0,0.582, 0.101
0.05, 5.626, 0.999,1.0, 0.104, 0.999,0.582, 0.104
0.075, 5.467, 0.999,1.0, 0.107, 0.999,0.582, 0.107
0.1, 5.312, 0.999,1.0, 0.11, 0.998,0.582, 0.11
0.125, 5.159, 0.998,0.999, 0.113, 0.998,0.582, 0.113
0.15, 5.01, 0.998,0.999, 0.116, 0.997,0.582, 0.117
0.175, 4.862, 0.998,0.999, 0.12, 0.997,0.582, 0.12
0.2, 4.718, 0.997,0.999, 0.124, 0.996,0.582, 0.124
0.225, 4.576, 0.997,0.999, 0.128, 0.995,0.582, 0.128
0.25, 4.438, 0.996,0.998, 0.132, 0.995,0.582, 0.132
0.275, 4.301, 0.996,0.998, 0.136, 0.994,0.582, 0.136
0.3, 4.168, 0.995,0.998, 0.14, 0.993,0.582, 0.141
0.325, 4.037, 0.994,0.998, 0.145, 0.992,0.582, 0.145
0.35, 3.91, 0.994,0.997, 0.15, 0.991,0.582, 0.15
